,City,City_Id,Latitude,Temperature,Cloud_Index,Humidity,Wind
361,marsa matruh,352733,31.35,51.8,20,50,9.17
362,tazovskiy,1489853,67.47,-1.2,68,68,16.55
363,oranjestad,3577154,12.52,84.2,20,58,25.28
364,erenhot,2037485,43.65,-6.06,0,65,9.17
365,namioka,2129005,40.71,31.11,80,100,12.75
366,salmon creek,5809333,45.71,44.06,90,82,4.7
367,ambilobe,1082243,-13.19,72.92,92,100,2.57
368,montes altos,3394539,-5.83,87.8,75,74,5.82
369,sorong,1626542,-0.86,82.59,12,100,7.61
370,guymon,5515743,36.68,54.5,1,59,17.22
371,cockburn town,3576994,21.46,79.49,32,98,12.75
372,ahipara,2194098,-35.17,59.69,48,100,5.26
373,bambous virieux,1106677,-20.34,82.4,75,83,12.75
374,ridgecrest,5387494,35.62,46.04,1,65,4.7
375,takoradi,2294915,4.89,84.3,0,96,8.72
376,ko samui,1154689,9.54,83.4,80,96,19.8
377,tarakeswar,1254912,22.89,60.8,0,72,2.8
378,inzhavino,556275,52.33,9.15,48,71,4.7
379,hit,95788,33.64,46.32,0,66,9.28
380,cabedelo,3404558,-6.97,86.0,40,55,16.11
381,daru,2409663,7.99,88.8,20,33,2.91
382,mezen,527321,65.85,16.85,92,85,7.38
383,hami,1529484,42.84,-0.03,0,51,6.15
384,naberera,152042,-4.2,72.74,0,67,11.86
385,ochamchira,612652,42.71,49.92,92,99,8.61
386,solnechnyy,2016307,50.72,-21.63,0,31,5.82
387,mandera,187896,3.94,84.93,64,21,9.62
388,ulvik,3133311,60.57,37.4,75,100,24.16
389,labuhan,1641899,-2.54,75.62,12,89,1.68
390,pochutla,3517970,15.74,84.2,40,58,9.17
391,lillooet,6945979,50.69,32.0,90,82,11.41
392,alta floresta,6316343,-9.87,82.68,48,83,1.23
393,kavieng,2094342,-2.57,84.66,64,98,13.76
394,san cristobal,3652462,-0.39,73.4,40,43,12.75
395,yanam,1252795,16.73,68.91,0,80,8.28
396,mandalgovi,2030065,45.76,-12.14,0,50,3.58
397,padang,1633419,-0.92,80.79,80,100,3.58
398,niquero,3545981,20.04,82.68,24,86,5.7
399,carlagan,1718367,14.97,77.46,92,97,19.8
400,ilam,130802,33.64,46.4,90,87,4.7
401,marilia,3397900,-8.64,87.9,48,70,4.36
402,eureka,5563397,40.8,44.96,90,100,23.04
403,xai-xai,1024552,-25.04,75.89,68,99,14.43
404,maturin,3778045,9.75,92.49,8,38,7.94
405,mindelo,2739997,41.31,53.6,0,71,6.93
406,owando,2255542,-0.49,76.02,36,87,2.57
407,susangerd,137268,31.56,66.2,75,88,11.41
408,nokha,1261227,27.56,46.86,0,89,3.36
409,tabou,2281120,4.42,84.17,0,98,10.18
410,rio grande,3451138,-32.03,89.6,75,66,16.11
411,gizo,6693679,31.8,55.4,75,81,18.34
412,clyde river,5924351,70.47,-9.41,75,83,14.99
413,kassala,372753,15.45,71.84,0,25,7.38
414,praia da vitoria,3372760,38.73,60.8,75,100,30.76
415,rio gallegos,3838859,-51.62,51.8,40,32,25.28
416,longyan,1802276,25.1,56.0,92,97,1.68
417,dingle,1714733,11.0,74.45,0,75,15.1
418,puerto quijarro,3465342,-19.0,93.2,40,59,10.29
419,tumaco,3666640,1.8,77.15,92,100,7.38
420,san ramon,3616584,12.92,71.6,40,78,13.87
